Date,Close,High,Low,Open,Volume
2015-01-02,170.12496948242188,171.32578382923276,169.08979341546532,170.91171340245012,121465900
2015-01-05,167.05258178710938,169.24715009688967,166.7461737006491,169.0815244457335,169632600
2015-01-06,165.47911071777344,167.88071412827958,164.68408994172034,167.35898134910641,209151400
2015-01-07,167.54119873046875,167.88073956316435,166.35696320099726,166.80415376773578,125346700
2015-01-08,170.5142059326172,170.72953065352303,168.93246642029644,168.94902014003745,147217800
2015-01-09,169.14779663085938,170.94486105666158,168.53496775123423,170.92829469871802,158567300
2015-01-12,167.82273864746094,169.43762341842782,167.21819936354106,169.2802746346781,144396100
2015-01-13,167.35072326660156,170.16639741804175,166.05053592069322,169.04012523018008,214553300
2015-01-14,166.3404083251953,166.53916672214785,164.4439709204368,165.3383521156499,192991100
2015-01-15,164.81661987304688,167.29275329332586,164.70068064236253,166.9780683165703,176613900
2015-01-16,166.97808837890625,167.13543720440362,164.42741236095966,164.60960440770086,211879600
2015-01-20,167.3341522216797,167.88072826145347,165.7689663888203,167.61571710165006,130991100
2015-01-21,168.17884826660156,168.65917148434727,166.4066273221596,166.87038418441705,122942700
2015-01-22,170.67984008789062,170.8123330247463,167.55774543821306,168.93246232905992,174356000
2015-01-23,169.7440185546875,170.67982169003744,169.61151299568783,170.42308743081597,117516800
2015-01-26,170.14158630371094,170.23268233008037,168.81656812684636,169.5287699776171,92009700
2015-01-27,167.89730834960938,169.04013431955212,167.0691673621353,168.0877772385284,134044600
2015-01-28,165.74412536621094,169.18090517407325,165.55365649034815,169.08153230604532,168514300
2015-01-29,167.2762451171875,167.53296686671393,164.5350871374661,165.94293728307736,173585400
2015-01-30,165.17274475097656,167.42528962048652,164.90774616208577,166.10027140317112,197729700
2015-02-02,167.21829223632812,167.3093882861238,163.8560405307607,165.66967202623516,163107000
2015-02-03,169.63636779785156,169.64465729362138,167.7399308212552,168.11259167452923,124212900
2015-02-04,168.9904327392578,170.0835848102543,168.53495270967596,168.87449351685765,134306700
2015-02-05,170.69642639160156,170.84549834910774,169.57844357423738,169.65297323477577,97953200
2015-02-06,170.22438049316406,171.62394076730268,169.70264763355704,171.06079833152506,125672000
2015-02-09,169.46249389648438,170.29891174267553,169.0567002644991,169.57843312899038,87219000
2015-02-10,171.267822265625,171.5245439299293,169.50387805595938,170.49765727271208,96164200
2015-02-11,171.36717224121094,171.79780900185008,170.45622492944372,171.10217375218946,91087800
2015-02-12,173.0152130126953,173.07318894711187,171.40034061976428,172.16222880934126,97545900
2015-02-13,173.72738647460938,173.77707290377327,172.88267926954353,173.13941354760124,93670400
2015-02-17,174.00071716308594,174.1746323442568,173.1642992486139,173.41273145538702,76968200
2015-02-18,174.01724243164062,174.09177207607388,173.363004077811,173.6280152176981,80652900
2015-02-19,173.89306640625,174.25745051578036,173.28025007334028,173.42103254539876,91462500
2015-02-20,174.93646240234375,175.01099203958267,172.85782096333855,173.47892654651372,140896400
2015-02-23,174.91165161132812,174.91165161132812,174.307099633419,174.68805002173943,74411100
2015-02-24,175.40853881835938,175.60729720252223,174.538988262736,174.83711952076607,72472300
2015-02-25,175.25949096679688,175.76465750269924,174.919950110312,175.28433418688803,73061700
2015-02-26,175.05245971679688,175.32574778048672,174.44790765025743,175.16839895868685,72697900
2015-02-27,174.45620727539062,175.2180955715284,174.40652083118627,174.95308435386465,108076000
2015-03-02,175.55763244628906,175.6155957510603,174.50588973440398,174.55557617747365,87491400
2015-03-03,174.837158203125,175.60733605528142,173.97589695405733,175.1270126646053,110325800
2015-03-04,174.1000518798828,174.31537659378927,173.13112857658436,174.24083431166872,114497200
2015-03-05,174.29058837890625,174.57215333133064,173.78542178241264,174.42308135647423,76873000
2015-03-06,171.8392791748047,173.85994549150837,171.5080277875941,173.42930857899026,188128000
2015-03-09,172.5514678955078,172.90756247783182,171.88067567378718,172.0380244934855,89818900
2015-03-10,169.75233459472656,171.2678341049669,169.71092501842804,171.18502758879842,157121300
2015-03-11,169.3548126220703,170.18295351508777,169.2719934781977,170.00903836752613,110145700
2015-03-12,171.50799560546875,171.5742357613371,169.93452022039267,169.98420665550796,93993500
2015-03-13,170.4562530517578,172.1953414628287,169.42107686549133,171.2347075656587,162410900
2015-03-16,172.7336883544922,172.824784389493,170.48114334031902,171.18506839590995,136099200
2015-03-17,172.22019958496094,172.60113735012428,171.40861234601115,171.99659798758267,94510400
2015-03-18,174.29058837890625,174.96138067468297,171.11051682508818,171.74818903558065,228808500
2015-03-19,173.49554443359375,174.29884223735098,173.1063171416112,173.8764948644553,117917300
2015-03-20,175.0269775390625,175.5343990554761,174.26168836055672,174.44469367420336,177715100
2015-03-23,174.68589782714844,175.60923808051962,174.68589782714844,175.0352680996626,71784500
2015-03-24,173.704345703125,175.0186380320636,173.6377971673957,174.56113747478216,77805300
2015-03-25,171.1588592529297,174.14516517243177,171.11727753709803,173.91225171531622,159521700
2015-03-26,170.75131225585938,171.6663260245403,169.79469137466845,170.49344462384173,153067200
2015-03-27,171.14230346679688,171.31698228652505,170.44355010937383,170.63488193095372,118939000
2015-03-30,173.23019409179688,173.52965615952493,172.15712908659208,172.17375670108467,96180400
2015-03-31,171.71624755859375,173.10542766496235,171.65802552080422,172.40667436163744,126768700
2015-04-01,171.10899353027344,171.70791762382157,170.11910474530265,171.6829635109933,137303600
2015-04-02,171.72459411621094,172.17378093460846,170.8594757130817,171.04248104094222,86900900
2015-04-06,172.8808135986328,173.39654885986658,170.70140310210584,170.8344874743749,114368200
2015-04-07,172.42332458496094,173.65444087797837,172.39005666043033,172.90579199409237,81236300
2015-04-08,173.0055694580078,173.44644234245783,172.2569207428978,172.64788540538498,89351900
2015-04-09,173.77085876464844,174.0037722627483,172.34842366502664,172.83920477224896,85548900
2015-04-10,174.71917724609375,174.76077166783332,173.82080373926343,174.02043665507665,72722900
2015-04-13,173.9289093017578,175.20994622951594,173.87900107989284,174.57774157166983,74436600
2015-04-14,174.26165771484375,174.444662996307,173.10540399623537,173.72928217590538,75099900
2015-04-15,175.04356384277344,175.55098523943107,174.64428538579418,174.72747421521345,99529300
2015-04-16,174.9936981201172,175.50111964000402,174.51123071654968,174.71087633994063,68934900
2015-04-17,172.9806671142578,174.04541847755462,172.1987375552785,173.8041911015985,191113200
2015-04-20,174.5611572265625,174.89388725002235,173.82082213545306,173.90399829489962,92189500
2015-04-21,174.35316467285156,175.4012754712299,174.05370263148143,175.2432242976131,72559800
2015-04-22,175.2099609375,175.39296622825637,173.77087272447622,174.69421298498898,78264600
2015-04-23,175.6508026123047,176.29963482126482,174.6941819093684,174.81063864705786,102585900
2015-04-24,176.05845642089844,176.32465059604635,175.60926961638245,176.06678292189486,61327400
2015-04-27,175.32644653320312,176.74888198105475,175.13511471141135,176.62411139539645,79358100
2015-04-28,175.88375854492188,175.93366677414596,174.1285805578068,175.30147471591496,86863500
2015-04-29,175.1600799560547,175.75899145469907,174.35319632844374,174.99370225288143,125684900
2015-04-30,173.40489196777344,174.97706470799116,172.70613865547094,174.58609997482478,161304900
2015-05-01,175.28482055664062,175.32641497531887,174.08697237858064,174.1867888291408,103399700
2015-05-04,175.78392028808594,176.36620404488573,175.60091500840113,175.7090452606993,70927200
2015-05-05,173.77085876464844,175.90037355030015,173.62944790457593,175.54267680425372,113326200
2015-05-06,173.05552673339844,174.62769963503646,171.99077538693658,174.31992371713588,135060200
2015-05-07,173.7458953857422,174.1701406361635,172.6229223711262,172.95565229556806,88244900
2015-05-08,176.03346252441406,176.23310811066005,175.33472201180402,175.41791084594837,155877300
2015-05-11,175.19334411621094,176.25809539088837,175.1184817670937,175.9919139186372,75708100
2015-05-12,174.66929626464844,175.20999844593865,173.5379963581667,174.361520342868,119727600
2015-05-13,174.70254516601562,175.70074779807248,174.4696316416302,175.07686956643255,94667900
2015-05-14,176.52426147460938,176.6157641176975,175.4428700634319,175.71737799269627,95934000
2015-05-15,176.71559143066406,176.85700230725067,176.23312407316172,176.71559143066406,76510100
2015-05-18,177.2646026611328,177.51414379393768,176.482673264118,176.54922179714424,74549700
2015-05-19,177.20640563964844,177.65560515994437,176.9235838337362,177.3810971626163,72114600
2015-05-20,177.08160400390625,177.830252816043,176.7655016333957,177.30619103184608,76857500
2015-05-21,177.59735107421875,177.80531050170612,176.77382717194772,176.94020486820656,64764600
2015-05-22,177.173095703125,177.63059623069003,177.1065471717183,177.214677429024,57433500
2015-05-26,175.2682342529297,177.10660150512177,174.85231532366652,176.68235607385677,124308600
2015-05-27,176.93182373046875,177.16473720190314,175.31805704065025,175.72566196207657,93214000
2015-05-28,176.7322235107422,176.8403537684896,176.04179677401598,176.6240805601602,74974600
2015-05-29,175.6342010498047,176.70726603429128,175.3680196018721,176.66568430602715,124919600
2015-06-01,175.99188232421875,176.63238811990755,175.20162647150613,176.29965816611687,93338800
2015-06-02,175.8172149658203,176.50764177283756,174.9105149284553,175.5343931970188,91531000
2015-06-03,176.28298950195312,176.90686758457306,175.79220845657179,176.34953802057242,87820900
2015-06-04,174.7940216064453,176.23309695766497,174.47791928810233,175.57595090371493,151882800
2015-06-05,174.4945831298828,175.16836957906196,173.8374242944559,174.64430781066267,121704700
2015-06-08,173.42152404785156,174.53619623751186,173.34666169944614,174.38645884786473,89063300
2015-06-09,173.39659118652344,173.9372933856817,172.7643990122124,173.39659118652344,105034700
